"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc","perc_r","data","ora","comunicazione"
150510340,"063034","E054","Giugliano In Campania","0340","Napoli","051","Campania","15",50973,47882,98855,0,0,34357,34.75,46.14,"2025-05-25","23:00",3
150510340,"063034","E054","Giugliano In Campania","0340","Napoli","051","Campania","15",50973,47882,98855,23109,21913,45022,45.54,64.33,"2025-05-26","15:00",4
150510430,"063043","E955","Marigliano","0430","Napoli","051","Campania","15",13148,12011,25159,0,0,4402,17.5,15.78,"2025-05-25","12:00",1
150510430,"063043","E955","Marigliano","0430","Napoli","051","Campania","15",13148,12011,25159,0,0,10578,42.04,37.94,"2025-05-25","19:00",2
150510430,"063043","E955","Marigliano","0430","Napoli","051","Campania","15",13148,12011,25159,0,0,14287,56.79,52.68,"2025-05-25","23:00",3
150510430,"063043","E955","Marigliano","0430","Napoli","051","Campania","15",13148,12011,25159,9058,8401,17459,69.39,73.14,"2025-05-26","15:00",4
150510500,"063050","F924","Nola","0500","Napoli","051","Campania","15",15124,13998,29122,0,0,4596,15.78,22.01,"2025-05-25","12:00",1
150510500,"063050","F924","Nola","0500","Napoli","051","Campania","15",15124,13998,29122,0,0,11660,40.04,48.43,"2025-05-25","19:00",2
150510500,"063050","F924","Nola","0500","Napoli","051","Campania","15",15124,13998,29122,0,0,15913,54.64,69.53,"2025-05-25","23:00",3
150510500,"063050","F924","Nola","0500","Napoli","051","Campania","15",15124,13998,29122,10188,9595,19783,67.93,69.53,"2025-05-26","15:00",4
150510890,"063089","M115","Volla","0890","Napoli","051","Campania","15",10640,10014,20654,0,0,2388,11.56,10.55,"2025-05-25","12:00",1
150510890,"063089","M115","Volla","0890","Napoli","051","Campania","15",10640,10014,20654,0,0,6477,31.36,27.35,"2025-05-25","19:00",2
150510890,"063089","M115","Volla","0890","Napoli","051","Campania","15",10640,10014,20654,0,0,9464,45.82,39.8,"2025-05-25","23:00",3
150510890,"063089","M115","Volla","0890","Napoli","051","Campania","15",10640,10014,20654,6213,5875,12088,58.53,54.06,"2025-05-26","15:00",4
150720250,"065025","B644","Capaccio Paestum","0250","Salerno","072","Campania","15",9339,9041,18380,0,0,2776,15.1,24.49,"2025-05-25","12:00",1
150720250,"065025","B644","Capaccio Paestum","0250","Salerno","072","Campania","15",9339,9041,18380,0,0,7023,38.21,39.07,"2025-05-25","19:00",2
150720250,"065025","B644","Capaccio Paestum","0250","Salerno","072","Campania","15",9339,9041,18380,0,0,9390,51.09,59.45,"2025-05-25","23:00",3
150720250,"065025","B644","Capaccio Paestum","0250","Salerno","072","Campania","15",9339,9041,18380,6340,6147,12487,67.94,72.64,"2025-05-26","15:00",4
150720330,"065033","C235","Castelnuovo Di Conza","0330","Salerno","072","Campania","15",1670,1627,3297,0,0,108,3.28,3.59,"2025-05-25","12:00",1
150720330,"065033","C235","Castelnuovo Di Conza","0330","Salerno","072","Campania","15",1670,1627,3297,0,0,239,7.25,6.97,"2025-05-25","19:00",2
150720330,"065033","C235","Castelnuovo Di Conza","0330","Salerno","072","Campania","15",1670,1627,3297,0,0,286,8.67,10.77,"2025-05-25","23:00",3
150720330,"065033","C235","Castelnuovo Di Conza","0330","Salerno","072","Campania","15",1670,1627,3297,163,195,358,10.86,11.91,"2025-05-26","15:00",4
150720590,"065059","E365","Ispani","0590","Salerno","072","Campania","15",725,684,1409,0,0,209,14.83,14.98,"2025-05-25","12:00",1
150720590,"065059","E365","Ispani","0590","Salerno","072","Campania","15",725,684,1409,0,0,468,33.22,33.8,"2025-05-25","19:00",2
150720590,"065059","E365","Ispani","0590","Salerno","072","Campania","15",725,684,1409,0,0,588,41.73,46.49,"2025-05-25","23:00",3
